"","Community","Geo_Group","X","Geo_ID","N_Violent_19","Crowded_Housing_._1216","Income_Diversity_1418","Vegetation_Index_17","Vacant_Housing_._1216","Aerosol_Optical_Depth_17","Overall_Health_Status_._1618","Foreign_Born_._1216","Single_Parents_Households1216","Neighborhood_Safety_._1618","Mobility.Rate_2018","X65._._2018","Total_Population_2018","Total_Population.1000","Big_Community..66p.","X._Poverty_2018","X._0.4_2018","X._5.17_2018","X._0.17","Covid_Cases_0905","Covid_Deaths_0905","Covid_Cases_Rate10k","Covid_Death_Rate10k","Has_Police","N_Active_Business_Licenses","Active_Bus_Rate_10k","Burglary_2019","Burglary_Rate_19_10k","Assault_2019","Assault_Rate_19_10k","Narcotics_2019","Narcotics_Rate_10k","Robbery_2019","Robbery_Rate_10k","Burglary","Burglary p val","Burglary_Sig","burglary_sig_drop","Assault","Assault p val","Assault_Sig","assault_sig_drop","Narcotics","Narcotics p val","Narcotics_Sig","narcotics_sig_drop","Robbery","Robbery p val","Robbery_Sig","robbery_sig_drop"
"20",20,"20-Hermosa","Hermosa",20,44,6.015468347,62.4,0.22,10.2,0.161,82.4,35.2,12.9,66.9,9.1,9.4,24144,24.144,0,21.2,8.3,17.4,25.7,3594,129,1488.568588,616.5376857,1,4613,1910.619616,52,21.53744201,102,42.24652087,58,24.02253148,33,13.667992,0.24461570664797,0.365339578454333,0,"0",-0.228335302685165,0.267561983471074,0,"0",-0.61503662412128,0.0551090700344432,0,"0",0.256261200346639,0.374749498997996,0,"0"
"21",21,"21-Avondale","Avondale",21,72,4.408936233,64.8,0.2,10.7,0.158,77.7,35.2,9.5,80,9.9,9.9,37368,37.368,0,19.6,6.2,14.3,20.5,4338,154,1160.88632,310.6632198,1,6569,1757.921216,122,32.64825519,112,29.9721687,35,9.366302719,79,21.1410833,-0.442898956475538,0.152224824355972,0,"0",-0.181823990900973,0.261,0,"0",-0.680665186254687,0.0341047503045067,1,"1",-0.261175497875782,0.336842105263158,0,"0"
"22",22,"22-Logan Square","Logan Square",22,116,3.228662898,64.8,0.21,10.2,0.16,81.1,17.8,8.5,84.9,5.9,6.7,72980.7,72.9807,1,15,6.8,12.6,19.4,4440,216,608.3800238,83.36176876,1,9794,1341.998638,263,36.03692483,287,39.3254655,72,9.865622007,136,18.6350638,-0.783078099824215,0.00698324022346369,1,"1",-0.135361991516541,0.314465408805031,0,"0",-0.393371227992451,0.112112112112112,0,"0",-0.218328779621851,0.280130293159609,0,"0"
"23",23,"23-Humboldt Park","Humboldt Park",23,254,9.44548588,59.9,0.22,15.3,0.161,66.2,17.7,20.7,48.5,16,8.4,56427,56.427,1,30.1,9,21.2,30.2,5242,217,928.9878959,164.6353511,1,7418,1314.618888,247,43.7733709,564,99.95215057,1798,318.641785,213,37.7478867,-0.284410065398275,0.220338983050847,0,"0",-0.0516232932378202,0.395251396648045,0,"0",-0.827786799624761,0.00139664804469274,1,"1",0.0177924626284237,0.465116279069767,0,"0"
"24",24,"24-West Town","West Town",24,172,2.558127076,62.4,0.19,8.2,0.167,88.5,15.8,6,86,9.2,6,84567.3,84.5673,1,12.8,6.2,8.8,15,3104,147,367.0449453,43.40270356,1,9260,1094.985887,383,45.28937308,430,50.84707683,78,9.223423238,243,28.7345109,-0.714500432362668,0.0010989010989011,1,"1",-0.300491535441056,0.071578947368421,0,"0",-0.803738660696637,0.0401929260450161,1,"1",-0.694967083044429,0.00631578947368421,1,"1"
"25",25,"25-Austin","Austin",25,656,4.644985948,59,0.27,13,0.163,77,5,18.5,59.6,19.2,13.1,95260,95.26,1,29.2,7.5,18,25.5,4414,166,463.3634264,48.64197212,1,3859,405.1018266,412,43.25005249,1301,136.5735881,1228,128.9103506,603,63.3004409,-0.360662553532183,0.0152284263959391,1,"1",-0.177707836692089,0.0476190476190476,1,"1",-0.743019629746865,0.00139664804469274,1,"1",-0.0759205589270764,0.264335664335664,0,"0"
"26",26,"26-West Garfield Park","West Garfield Park",26,221,8.28313253,50.7,0.27,29.5,0.157,61.7,0.8,26.9,46,23,11.3,17155,17.155,0,43.8,10.3,21.4,31.7,566,18,329.9329642,192.3246658,0,515,300.2040222,112,65.28708831,341,198.7758671,1610,938.5018945,255,148.64471,-0.0689788074366185,0.39344262295082,0,"0",-0.111509877337177,0.282,0,"0",-0.737439606373739,0.00139664804469274,1,"1",-0.195441508656931,0.180710659898477,0,"0"
"27",27,"27-East Garfield Park","East Garfield Park",27,211,5.630955819,50.6,0.27,17.6,0.167,71.2,1.7,22.9,60.6,13.7,9.5,20004,20.004,0,43.8,7.8,21.3,29.1,1042,33,520.8958208,260.3958313,1,1395,697.3605279,117,58.48830234,413,206.4587083,651,325.434913,205,102.4795041,-0.342384484279054,0.147,0,"0",-0.240136201164186,0.096,0,"0",-0.77998679635902,0.00101522842639594,1,"1",-0.549574952800895,0.010498687664042,1,"1"
"28",28,"28-Near West Side","Near West Side",28,197,3.945495944,65.3,0.18,8.8,0.17,87.9,17.1,6.1,82.6,6.8,7.2,62872,62.872,1,23.8,5.8,9.1,14.9,2394,76,380.7736353,60.56330884,1,8399,1335.88879,208,33.08308945,681,108.3153073,201,31.96971625,302,48.034101,-0.366874918800426,0.0677966101694915,0,"0",-0.452836512365052,0.00140056022408964,1,"1",-0.646207371908828,0.003003003003003,1,"1",-0.124275457350003,0.288421052631579,0,"0"
"29",29,"29-North Lawndale","North Lawndale",29,347,5.002689618,52.6,0.27,23.7,0.167,82.1,3.3,27.1,45.9,17.8,9.8,35947,35.947,0,42.4,7.7,21.4,29.1,4206,120,1170.055916,325.4947327,1,4233,1177.566974,204,56.7502156,687,191.1146966,2003,557.2092247,342,95.1400673,-0.277375679358329,0.182960893854749,0,"0",0.00449505095716617,0.494397759103641,0,"0",-0.931728560188517,0.00139664804469274,1,"1",-0.321146252999125,0.0434782608695652,1,"1"
"30",30,"30-South Lawndale","South Lawndale",30,187,14.28571429,56.6,0.21,15.5,0.16,75,38.5,19.3,51.9,9.9,6.6,74851,74.851,1,33.6,7.6,21.1,28.7,4980,124,665.3217726,88.88615684,1,4309,575.6770117,136,18.16942993,371,49.56513607,322,43.01879734,144,19.2382199,0.389081337726064,0.152234636871508,0,"0",-0.25100681000073,0.076,0,"0",-0.728865794783058,0.001,1,"1",-0.277190310613013,0.207865168539326,0,"0"
"31",31,"31-Lower West Side","Lower West Side",31,79,6.792835417,61.7,0.14,13,0.173,81.2,35,12.7,69.8,11.5,9.9,32888,32.888,0,24.3,5.2,16.9,22.1,1407,57,427.8156166,130.0825884,1,2969,902.7608854,84,25.54123084,194,58.98808076,73,22.19654585,63,19.1559231,-0.0461732078443327,0.452695829094608,0,"0",-0.066806592929864,0.396118721461187,0,"0",-0.689034746221654,0.00913705583756345,1,"1",-0.742234120336084,0.0502577319587629,0,"0"
"32",32,"32-Loop","Loop",32,60,2.331466724,59.4,0.19,16,0.179,92.3,21.6,1.4,87.9,12.6,10.2,35880,35.88,0,13.3,3.7,2.9,6.6,711,7,198.1605351,55.22868872,0,7653,2132.943144,82,22.85395764,513,142.9765886,104,28.98550725,256,71.3489409,-0.603488973111968,0.02002002002002,1,"1",-0.491828504357473,0.00459242250287026,1,"1",-0.653120481989185,0.00554938956714761,1,"1",-0.389071134798317,0.0353227771010962,1,"1"
