Geo_Group,Community,,Geo_ID,N_Violent_19,Crowded_Housing_%_1216,Income_Diversity_1418,Vegetation_Index_17,Vacant_Housing_%_1216,Aerosol_Optical_Depth_17,Overall_Health_Status_%_1618,Foreign_Born_%_1216,Single_Parents_Households1216,Neighborhood_Safety_%_1618,Mobility Rate_2018,65+_%_2018,Total_Population_2018,Total_Population/1000,Big_Community(>66p),%_Poverty_2018,%_0-4_2018,%_5-17_2018,%_0-17,Covid_Cases_0905,Covid_Deaths_0905,Covid_Cases_Rate10k,Covid_Death_Rate10k,Has_Police,N_Active_Business_Licenses,Active_Bus_Rate_10k,Burglary_2019,Burglary_Rate_19_10k,Assault_2019,Assault_Rate_19_10k,Narcotics_2019,Narcotics_Rate_10k,Robbery_2019,Robbery_Rate_10k
65-West Lawn,65,West Lawn,65,46,6.189836579,61.5,0.23,7.9,0.172,74.2,35.4,13,72.2,7.6,8.7,33108,33.10800,0,16.3,6.8,23.1,29.9,2473,49,746.9493778,225.6099365,1,1460,440.9810318,93,28.08988764,126,38.05726713,29,8.759212275,51,15.4041319
66-Chicago Lawn,66,Chicago Lawn,66,260,6.899151744,56.7,0.29,15.5,0.173,74.1,23.6,18.9,62.2,12.9,9.3,53098,53.09800,1,27.4,7.6,20.3,27.9,2388,74,449.7344533,84.69894408,1,1503,283.0615089,301,56.68763419,609,114.6935854,244,45.95276658,226,42.5628084
67-West Englewood,67,West Englewood,67,249,3.738995339,54,0.33,25.6,0.167,74.5,2.7,19.3,52,13.9,17.3,29929,29.92900,0,33.6,6.7,17.8,24.5,482,37,161.0478132,53.80995461,1,518,173.0762805,269,89.8793812,732,244.5788366,370,123.6259147,214,71.5025560
68-Englewood,68,Englewood,68,235,4.014797084,45.3,0.34,35.4,0.166,73.5,2.4,22.2,55.3,20.5,13.2,25075,25.07500,0,45.3,9.5,18.9,28.4,1683,125,671.1864407,267.6715616,1,1650,658.0259222,231,92.12362911,619,246.8594217,368,146.7597208,218,86.9391825
69-Greater Grand Crossing,69,Greater Grand Crossing,69,254,3.945959305,53.6,0.29,22.1,0.169,74.3,1.6,20.2,57.5,19.8,13.4,31766,31.76600,0,37.5,6.8,17.7,24.5,2297,143,723.10017,227.6333722,1,2463,775.3573003,277,87.2001511,681,214.3801549,335,105.4586665,230,72.4044576
70-Ashburn,70,Ashburn,70,86,3.124756487,63.2,0.3,4.8,0.177,84.1,17.1,13.8,87.2,8.5,10.6,43792,43.79200,1,11.7,6.4,19.9,26.3,3303,106,754.2473511,172.2340499,1,2301,525.4384362,147,33.56777494,230,52.5210084,32,7.307270734,69,15.7563025
71-Auburn Gresham,71,Auburn Gresham,71,318,1.817234794,58.2,0.3,16.1,0.163,78.4,1.6,15.6,57.9,21.3,16.6,46278,46.27800,1,28.9,5.6,17.1,22.7,830,57,179.3508795,38.75510598,1,841,181.7278188,306,66.12213147,755,163.1444747,397,85.78590259,260,56.1822032
72-Beverly,72,Beverly,72,12,0.61760841,60.8,0.45,5.3,0.169,94,3.1,4.7,89.7,6.4,15.6,20822,20.82200,0,4.6,6.8,17.2,24,1588,102,762.6548843,366.2735973,1,1674,803.9573528,80,38.42090097,58,27.8551532,12,5.763135146,15,7.2039189
73-Washington Heights,73,Washington Heights,73,109,2.050688821,64.1,0.34,8.9,0.171,86.9,1.5,13.5,66,15.1,18.4,27453,27.45300,0,19.8,4.2,15.6,19.8,2173,155,791.5346228,288.3235431,1,2163,787.8920337,133,48.44643573,281,102.3567552,132,48.08217681,84,30.5977489
74-Mount Greenwood,74,Mount Greenwood,74,4,2.860185608,60,0.38,6.8,0.159,91.3,4,5.8,96.3,2.3,11.9,19277,19.27700,0,3.6,7.8,16.6,24.4,190,7,98.56305442,51.12987208,0,234,121.3881828,27,14.00632879,27,14.00632879,12,6.225035016,3,1.5562588
75-Morgan Park,75,Morgan Park,75,49,1.437391472,65.7,0.39,10.4,0.154,85.9,4,9.4,83.6,19.3,18,22937.7,22.93770,0,17.6,5.7,17.7,23.4,1533,105,668.3320472,291.3683792,1,1556,678.3592078,73,31.82533558,154,67.13837917,63,27.46570057,39,17.0025765
76-O'Hare,76,O'Hare,76,6,4.509399109,62.3,0.28,6.2,0.179,96.5,47.1,5.9,88.8,9.1,15.1,12139,12.13900,0,15.1,5.1,11,16.1,1228,36,1011.615454,833.3597943,0,1929,1589.093006,12,9.885493039,75,61.78433149,51,42.01334542,8,6.5903287
77-Edgewater,77,Edgewater,77,25,4.332507762,65.5,0.25,11.4,0.180,87,28.8,3.9,92.4,9.3,14.6,55965,55.96500,1,16.3,3.9,6.7,10.6,864,85,154.3822032,27.5854915,0,1758,314.1248995,96,17.15357813,189,33.77110694,21,3.752345216,68,12.1504512
