"","Actual","Pred","Pred.lower","Pred.upper","Pred.sd","AbsEffect","AbsEffect.lower","AbsEffect.upper","AbsEffect.sd","RelEffect","RelEffect.lower","RelEffect.upper","RelEffect.sd","alpha","p"
"1.Average",0.3,0.323541374215844,0.118807331003301,0.526388557813408,0.104704525055574,-0.0235413742158439,-0.226388557813409,0.181192668996699,0.104704525055574,-0.0727615572286553,-0.699720579360518,0.560029360806941,0.323620202545478,0.05,0.427400468384075
"1.Cumulative",18,19.4124824529506,7.12843986019808,31.5833134688045,6.28227150333442,-1.41248245295063,-13.5833134688045,10.8715601398019,6.28227150333442,-0.0727615572286553,-0.699720579360518,0.560029360806941,0.323620202545478,0.05,0.427400468384075
"10.Average",0.0333333333333333,0.0586698277989038,-0.00231463577092571,0.123627007868295,0.0318426742200017,-0.0253364944655705,-0.0902936745349614,0.035647969104259,0.0318426742200017,-0.431848795473094,-1.53901379844596,0.607603097565679,0.542743611403555,0.05,0.2002002002002
"10.Cumulative",2,3.52018966793423,-0.138878146255543,7.41762047209768,1.9105604532001,-1.52018966793423,-5.41762047209768,2.13887814625554,1.9105604532001,-0.431848795473094,-1.53901379844596,0.607603097565679,0.542743611403555,0.05,0.2002002002002
"11.Average",0.0166666666666667,0.047371601480875,-0.0269799050277409,0.119493265854145,0.0369506048432468,-0.0307049348142083,-0.102826599187478,0.0436465716944076,0.0369506048432468,-0.648171770730711,-2.1706380188348,0.92136576197511,0.780015952345724,0.05,0.200836820083682
"11.Cumulative",1,2.8422960888525,-1.61879430166446,7.16959595124868,2.21703629059481,-1.8422960888525,-6.16959595124868,2.61879430166446,2.21703629059481,-0.648171770730711,-2.1706380188348,0.92136576197511,0.780015952345724,0.05,0.200836820083682
"12.Average",0.0166666666666667,0.0107215531049581,-0.0226679307323325,0.0403837355457841,0.0166063954550059,0.00594511356170852,-0.0237170688791175,0.0393345973989992,0.0166063954550059,0.554501153285266,-2.21209265550805,3.66874062124535,1.54887965320308,0.05,0.332938388625592
"12.Cumulative",1,0.643293186297489,-1.36007584393995,2.42302413274705,0.996383727300356,0.356706813702511,-1.42302413274705,2.36007584393995,0.996383727300356,0.554501153285266,-2.21209265550805,3.66874062124535,1.54887965320308,0.05,0.332938388625592
"13.Average",0,0.0581562289204961,-0.026702311021603,0.144678178006028,0.0440596571004163,-0.0581562289204961,-0.144678178006028,0.026702311021603,0.0440596571004163,-1,-2.48775033545957,0.459147911019249,0.757608564349129,0.05,0.0785714285714286
"13.Cumulative",0,3.48937373522977,-1.60213866129618,8.68069068036166,2.64357942602498,-3.48937373522977,-8.68069068036166,1.60213866129618,2.64357942602498,-1,-2.48775033545957,0.459147911019249,0.757608564349129,0.05,0.0785714285714286
"14.Average",0.1,0.22713937437909,0.0149260322672657,0.42511430148242,0.109924416507355,-0.12713937437909,-0.32511430148242,0.0850739677327343,0.109924416507355,-0.559741677226324,-1.43134277080385,0.374545223457154,0.483951392434031,0.05,0.140776699029126
"14.Cumulative",6,13.6283624627454,0.895561936035943,25.5068580889452,6.5954649904413,-7.62836246274538,-19.5068580889452,5.10443806396406,6.5954649904413,-0.559741677226324,-1.43134277080385,0.374545223457154,0.483951392434031,0.05,0.140776699029126
"15.Average",0.25,0.15603820612817,0.0242862615987345,0.295362663181904,0.0709252354279128,0.0939617938718295,-0.0453626631819045,0.225713738401265,0.0709252354279128,0.602171712962715,-0.29071510309881,1.44652866757429,0.454537623751291,0.05,0.0847457627118644
"15.Cumulative",15,9.36229236769023,1.45717569592407,17.7217597909143,4.25551412567477,5.63770763230977,-2.72175979091427,13.5428243040759,4.25551412567477,0.602171712962714,-0.29071510309881,1.44652866757429,0.454537623751291,0.05,0.0847457627118644
"16.Average",0.133333333333333,0.186176883751261,0.0128534068934541,0.351828669054547,0.0871981247013282,-0.0528435504179278,-0.218495335721213,0.120479926439879,0.0871981247013282,-0.283835185943539,-1.1735900360924,0.647126130872641,0.468361715720991,0.05,0.271367521367521
"16.Cumulative",8,11.1706130250757,0.771204413607248,21.1097201432728,5.23188748207969,-3.17061302507567,-13.1097201432728,7.22879558639275,5.23188748207969,-0.283835185943539,-1.1735900360924,0.647126130872641,0.468361715720991,0.05,0.271367521367521
"17.Average",0.0166666666666667,0.0291186927221126,-0.0402776213651457,0.100403343999051,0.0358827737317869,-0.0124520260554459,-0.0837366773323848,0.0569442880318124,0.0358827737317869,-0.427629982371768,-2.875701808852,1.95559218867574,1.23229343000476,0.05,0.365060240963855
"17.Cumulative",1,1.74712156332676,-2.41665728190874,6.02420063994308,2.15296642390721,-0.747121563326756,-5.02420063994309,3.41665728190874,2.15296642390721,-0.427629982371768,-2.875701808852,1.95559218867574,1.23229343000476,0.05,0.365060240963855
"18.Average",0.0666666666666667,0.025217032589068,-0.0344265132777197,0.0794773362504167,0.0286751793757209,0.0414496340775987,-0.0128106695837501,0.101093179944386,0.0286751793757209,1.64371576755497,-0.508016537572455,4.00892450716869,1.13713535779591,0.05,0.068
"18.Cumulative",4,1.51302195534408,-2.06559079666318,4.768640175025,1.72051076254326,2.48697804465592,-0.768640175025005,6.06559079666318,1.72051076254326,1.64371576755497,-0.508016537572455,4.00892450716869,1.13713535779591,0.05,0.068
"19.Average",0.166666666666667,0.279271986983232,0.0552304147132787,0.482392624707122,0.110288993249487,-0.112605320316566,-0.315725958040456,0.111436251953388,0.110288993249487,-0.403210223599428,-1.13053214341692,0.399024095317081,0.394916061724832,0.05,0.150943396226415
